name,smiles
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O
Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
Paracetamol,CC(=O)NC1=CC=C(C=C1)O
Amoxicillin,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C
Atorvastatin,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4
Metformin,CN(C)C(=N)NC(=N)N
Lisinopril,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O
Amlodipine,CCOC(=O)C1=C(NC(=C(C1c2ccccc2Cl)C(=O)OC)C)COCCN
Simvastatin,CCC(C)(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
Omeprazole,COc1ccc2[nH]c(nc2c1)S(=O)Cc3ncc(C)c(OC)c3C
Losartan,CCCCc1nc(Cl)c(n1Cc2ccc(cc2)c3ccccc3c4[nH]nnn4)CO
Levothyroxine,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
Warfarin,CC(=O)CC(c1ccccc1)c2c(O)c3ccccc3oc2=O
Fluoxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c2ccccc2
Sertraline,CN[C@H]1CC[C@@H](c2c1cccc2)c3ccc(Cl)c(Cl)c3
Citalopram,CN(C)CCCC1(OCc2cc(C#N)ccc12)c3ccc(F)cc3
Diazepam,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13
Lorazepam,OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O
Alprazolam,Cc1nnc2CN=C(c3ccccc3)c4cc(Cl)ccc4n12
Fentanyl,CCC(=O)N(c1ccccc1)C2CCN(CCc3ccccc3)CC2
Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
Codeine,COc1ccc2C[C@H]3N(C)CC[C@@]45c2c1O[C@H]4[C@@H](O)C=C[C@@H]35
Prednisone,CC12CCC(=O)C=C1CCC3C2C(O)CC4(C)C3CCC4(O)C(=O)CO
Metoprolol,CC(C)NCC(O)COc1ccc(CCOC)cc1
Albuterol,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
Furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
Hydrocortisone,CC12CCC(=O)C=C1CCC3C2C(O)CC4(C)C3CCC4(O)C(=O)CO
Ciprofloxacin,OC(=O)C1=CN(C2CC2)c3cc(N4CCNCC4)c(F)cc3C1=O
Ranitidine,CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1
Methotrexate,CN(Cc1cnc2nc(N)nc(N)c2n1)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3
Doxorubicin,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO
